CustomerID,NumberOfTrips,NumberOfPersonVisiting,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,,,,,,
200608,5,2,55,Self Enquiry,3,8,Small Business,Male,3,Deluxe,3,Single,0,2,0,1,Manager,20160,,,,,,
200614,2,2,26,Company Invited,1,11,Small Business,Female,4,Basic,3,Divorced,1,2,0,1,Executive,17366,,,,,,
200636,2,3,35,Company Invited,1,31,Salaried,Female,3,Basic,4,Married,1,3,0,0,Executive,17022,,,,,,
200645,7,2,29,Self Enquiry,3,6,Small Business,Female,4,Basic,3,Married,1,2,0,1,Executive,17800,,,,,,
200656,2,2,32,Self Enquiry,1,31,Salaried,Male,3,Basic,3,Single,1,5,1,0,Executive,17795,,,,,,
200660,1,2,58,Company Invited,1,8,Salaried,Male,4,Basic,3,Married,1,2,0,0,Executive,17380,,,,,,
200662,2,2,20,Self Enquiry,3,8,Small Business,Female,4,Basic,3,Single,0,4,0,1,Executive,17044,,,,,,
200663,2,3,21,Self Enquiry,1,24,Salaried,Female,3,Basic,3,Single,0,3,1,1,Executive,17693,,,,,,
200667,5,2,41,Self Enquiry,1,8,Salaried,Female,5,Basic,3,Married,1,3,0,0,Executive,17778,,,,,,
200669,1,3,39,Self Enquiry,1,12,Small Business,Male,3,Basic,5,Divorced,1,2,1,1,Executive,17404,,,,,,
200683,2,2,25,Self Enquiry,3,25,Small Business,Male,4,Basic,4,Divorced,1,2,0,0,Executive,17413,,,,,,
200688,2,2,19,Self Enquiry,3,27,Salaried,Male,4,Basic,4,Single,1,2,0,1,Executive,17121,,,,,,
200689,2,2,20,Self Enquiry,1,10,Large Business,Male,3,Basic,5,Single,0,3,1,1,Executive,17973,,,,,,
200693,2,2,36,Self Enquiry,3,9,Salaried,Male,4,Standard,3,Divorced,1,2,1,0,Senior Manager,25325,,,,,,
200695,6,2,37,Self Enquiry,3,6,Salaried,Male,4,Standard,3,Divorced,0,2,1,1,Senior Manager,25609,,,,,,
200700,5,2,58,Self Enquiry,1,8,Large Business,Male,3,Basic,3,Single,0,2,1,1,Executive,17479,,,,,,
200706,5,3,40,Company Invited,3,30,Salaried,Female,1,Super Deluxe,4,Unmarried,1,3,1,2,AVP,28194,,,,,,
200709,1,2,31,Company Invited,1,15,Small Business,Male,4,Basic,5,Single,1,3,1,0,Executive,17321,,,,,,
200711,7,3,29,Self Enquiry,1,16,Salaried,Female,4,Basic,5,Single,1,5,1,1,Executive,17404,,,,,,
200720,5,2,30,Self Enquiry,1,28,Salaried,Female,3,Basic,3,Divorced,1,2,0,1,Executive,17132,,,,,,
200731,2,3,20,Self Enquiry,1,17,Small Business,Female,4,Basic,5,Single,1,3,0,1,Executive,17600,,,,,,
200732,1,2,30,Company Invited,1,11,Small Business,Female,3,Basic,4,Single,0,3,0,0,Executive,17422,,,,,,
200744,6,3,37,Self Enquiry,1,,Small Business,Female,5,Deluxe,4,Divorced,0,4,1,0,Manager,19777,,,,,,
200748,1,3,26,Company Invited,3,35,Small Business,Male,,Deluxe,5,Single,0,3,0,0,Manager,19969,,,,,,
200749,2,2,52,Self Enquiry,3,8,Small Business,Female,5,King,3,Divorced,0,3,1,,VP,34845,,,,,,
200752,2,2,36,Self Enquiry,1,22,Salaried,Female,1,Basic,5,Single,0,2,1,0,Executive,17743,,,,,,
200761,1,2,36,Self Enquiry,1,,Salaried,Male,3,Deluxe,3,Married,0,4,0,0,Manager,19834,,,,,,
200762,7,2,26,Company Invited,1,8,Salaried,Male,3,Basic,5,Divorced,1,5,1,0,Executive,17042,,,,,,
200776,2,2,20,Company Invited,3,15,Small Business,Female,3,Basic,3,Single,1,4,0,0,Executive,17323,,,,,,
200777,2,2,21,Self Enquiry,1,16,Salaried,Female,4,Basic,5,Single,0,3,1,0,Executive,16416,,,,,,
200779,1,2,51,Self Enquiry,1,10,Salaried,Male,3,Basic,3,Divorced,1,2,1,1,Executive,17461,,,,,,
200780,2,3,28,Company Invited,1,30,Large Business,Male,4,Standard,5,Unmarried,0,2,0,0,Senior Manager,23722,,,,,,
200789,1,3,44,Self Enquiry,2,6,Small Business,Male,4,Standard,5,Divorced,0,4,1,0,Senior Manager,25482,,,,,,
200791,1,2,35,Self Enquiry,3,10,Large Business,Male,3,Standard,5,Unmarried,1,4,1,1,Senior Manager,24582,,,,,,
200792,2,2,33,Company Invited,1,,Small Business,Female,4,Deluxe,3,Single,0,5,1,0,Manager,19508,,,,,,
200797,2,2,26,Self Enquiry,1,27,Small Business,Male,3,Basic,3,Married,0,5,1,1,Executive,17377,,,,,,
200798,5,2,33,Self Enquiry,1,31,Small Business,Male,4,Basic,4,Single,1,4,0,0,Executive,17313,,,,,,
200800,2,2,28,Company Invited,1,6,Small Business,Male,4,Basic,4,Married,0,4,0,0,Executive,17596,,,,,,
200801,4,2,50,Company Invited,3,,Salaried,Male,3,Deluxe,3,Single,1,2,0,0,Manager,19728,,,,,,
200813,1,2,39,Company Invited,1,8,Salaried,Male,3,Super Deluxe,3,Married,0,3,1,0,AVP,27169,,,,,,
200828,2,3,18,Company Invited,1,14,Small Business,Male,3,Basic,3,Single,0,5,0,0,Executive,16904,,,,,,
200829,1,3,33,Self Enquiry,3,15,Small Business,Female,3,Deluxe,5,Unmarried,1,3,0,1,Manager,23224,,,,,,
200831,2,3,31,Company Invited,1,21,Small Business,Male,3,Basic,3,Divorced,0,4,1,2,Executive,17610,,,,,,
200836,2,2,29,Self Enquiry,3,29,Salaried,Female,4,Standard,5,Divorced,0,3,0,0,Senior Manager,22336,,,,,,
200838,1,2,42,Company Invited,3,18,Salaried,Male,3,Super Deluxe,5,Single,1,5,1,1,AVP,28758,,,,,,
200842,2,3,28,Self Enquiry,1,18,Salaried,Female,3,Basic,3,Divorced,1,4,1,0,Executive,17515,,,,,,
200849,1,2,43,Self Enquiry,3,15,Small Business,Female,5,Deluxe,3,Single,0,2,1,1,Manager,20346,,,,,,
200857,2,3,44,Self Enquiry,1,16,Salaried,Male,3,Basic,3,Single,1,3,1,2,Executive,17936,,,,,,
200860,1,2,22,Company Invited,1,9,Salaried,Male,4,Basic,3,Divorced,1,3,0,0,Executive,17853,,,,,,
200864,7,3,41,Company Invited,1,11,Salaried,Male,4,Basic,5,Married,0,3,1,0,Executive,17107,,,,,,
200871,2,3,24,Self Enquiry,1,23,Salaried,Female,3,Basic,4,Divorced,0,2,0,1,Executive,17210,,,,,,
200892,2,3,19,Company Invited,1,16,Small Business,Female,4,Basic,4,Single,1,5,1,1,Executive,16859,,,,,,
200911,2,3,25,Company Invited,3,30,Salaried,Male,5,Basic,3,Single,1,1,1,1,Executive,16118,,,,,,
200913,3,3,45,Self Enquiry,3,8,Small Business,Female,5,King,4,Single,1,5,0,2,VP,33824,,,,,,
200915,2,2,21,Company Invited,1,16,Salaried,Female,4,Basic,3,Single,0,4,1,0,Executive,17625,,,,,,
200928,2,3,44,Self Enquiry,1,21,Small Business,Female,3,Standard,3,Divorced,0,3,0,1,Senior Manager,22978,,,,,,
200932,4,2,29,Self Enquiry,1,13,Large Business,Female,3,Basic,3,Married,1,4,1,1,Executive,18339,,,,,,
200939,2,3,32,Self Enquiry,1,,Salaried,Male,3,Deluxe,3,Divorced,0,3,1,1,Manager,19883,,,,,,
200946,3,2,40,Self Enquiry,3,31,Small Business,Male,4,Standard,4,Unmarried,1,5,0,1,Senior Manager,24094,,,,,,
200947,1,3,52,Self Enquiry,3,11,Salaried,Male,3,Standard,4,Unmarried,1,4,1,1,Senior Manager,23446,,,,,,
200952,2,2,31,Company Invited,3,6,Salaried,Female,3,Basic,4,Single,1,5,1,1,Executive,17302,,,,,,
200953,5,2,44,Self Enquiry,1,9,Salaried,Male,3,Basic,5,Divorced,0,5,1,1,Executive,17362,,,,,,
200966,1,2,58,Self Enquiry,1,13,Small Business,Female,4,Standard,5,Divorced,1,4,1,0,Senior Manager,25008,,,,,,
200975,7,2,55,Self Enquiry,3,19,Small Business,Male,1,Super Deluxe,3,Single,1,3,1,1,AVP,28695,,,,,,
200980,1,2,31,Company Invited,3,8,Salaried,Female,4,Basic,3,Single,0,5,0,1,Executive,17785,,,,,,
200981,1,3,35,Company Invited,3,,Small Business,Female,3,Deluxe,3,Divorced,1,5,1,2,Manager,19614,,,,,,
200985,2,3,31,Self Enquiry,1,28,Small Business,Male,3,Deluxe,3,Divorced,1,5,1,0,Manager,21179,,,,,,
200997,2,2,27,Self Enquiry,1,23,Salaried,Female,3,Basic,3,Single,1,5,1,0,Executive,17394,,,,,,
201007,1,2,29,Company Invited,1,20,Salaried,Female,3,Standard,3,Unmarried,1,5,1,0,Senior Manager,22553,,,,,,
201012,2,2,31,Company Invited,3,6,Salaried,Female,5,Basic,3,Single,0,3,1,1,Executive,16359,,,,,,
201016,2,2,31,Self Enquiry,1,14,Salaried,Female,4,Basic,4,Single,0,4,0,1,Executive,16261,,,,,,
201031,5,2,46,Self Enquiry,3,15,Small Business,Male,3,Standard,3,Married,0,3,0,1,Senior Manager,25096,,,,,,
201033,2,3,31,Company Invited,1,6,Salaried,Female,1,Standard,4,Unmarried,0,3,1,2,Senior Manager,22446,,,,,,
201039,2,2,34,Self Enquiry,2,15,Large Business,Female,3,Basic,3,Divorced,0,1,1,0,Executive,17742,,,,,,
201056,4,3,28,Company Invited,3,6,Large Business,Male,3,Basic,3,Divorced,0,3,1,0,Executive,17909,,,,,,
201057,6,2,29,Company Invited,3,19,Large Business,Female,3,Deluxe,4,Single,0,3,0,1,Manager,20765,,,,,,
201058,1,2,34,Self Enquiry,3,,Small Business,Female,4,Deluxe,4,Single,1,5,1,0,Manager,19599,,,,,,
201060,3,2,24,Company Invited,1,15,Small Business,Male,3,Basic,5,Single,1,3,0,1,Executive,18172,,,,,,
201068,1,2,28,Company Invited,1,8,Small Business,Male,4,Basic,5,Single,0,4,0,0,Executive,17561,,,,,,
201077,7,3,29,Self Enquiry,1,6,Large Business,Male,4,Basic,5,Single,0,3,0,2,Executive,17362,,,,,,
201083,4,2,40,Self Enquiry,1,15,Salaried,Male,3,Basic,5,Single,0,1,1,1,Executive,17018,,,,,,
201106,2,3,30,Self Enquiry,3,6,Salaried,Male,4,Deluxe,5,Married,0,4,1,1,Manager,24714,,,,,,
201110,2,3,35,Self Enquiry,1,8,Salaried,Female,3,Basic,5,Married,1,1,1,1,Executive,17074,,,,,,
201111,1,3,53,Self Enquiry,1,8,Large Business,Female,4,Standard,3,Married,0,5,1,2,Senior Manager,25169,,,,,,
201112,5,2,38,Self Enquiry,1,,Small Business,Male,3,Deluxe,4,Married,0,4,0,0,Manager,19855,,,,,,
201136,2,2,28,Self Enquiry,1,30,Small Business,Male,3,Basic,4,Married,1,1,0,0,Executive,17408,,,,,,
201153,2,3,18,Company Invited,3,9,Small Business,Female,3,Basic,3,Single,1,5,0,1,Executive,16569,,,,,,
201162,1,2,35,Self Enquiry,3,16,Small Business,Male,4,Standard,5,Married,0,5,1,1,Senior Manager,25306,,,,,,
201167,7,2,35,Self Enquiry,3,21,Small Business,Male,5,Deluxe,3,Married,1,1,1,1,Manager,20440,,,,,,
201171,4,3,40,Self Enquiry,1,13,Salaried,Male,3,Basic,5,Single,1,3,0,1,Executive,17166,,,,,,
201186,4,2,35,Company Invited,3,,Salaried,Male,3,Deluxe,3,Single,1,3,1,0,Manager,19581,,,,,,
201204,3,3,48,Company Invited,3,13,Small Business,Female,3,Basic,3,Married,1,4,1,1,Executive,17655,,,,,,
201205,2,3,32,Self Enquiry,1,8,Salaried,Male,3,Basic,4,Single,0,3,1,1,Executive,16393,,,,,,
201213,2,2,23,Self Enquiry,3,13,Salaried,Male,3,Basic,3,Married,1,1,1,0,Executive,17275,,,,,,
201222,2,2,24,Self Enquiry,2,28,Salaried,Male,5,Basic,3,Married,0,1,0,1,Executive,16555,,,,,,
201223,1,2,47,Company Invited,3,15,Salaried,Male,5,Super Deluxe,3,Married,0,5,1,1,AVP,27936,,,,,,
201236,6,3,36,Self Enquiry,3,19,Small Business,Male,4,Deluxe,5,Married,1,1,1,0,Manager,21134,,,,,,
201237,7,2,32,Self Enquiry,3,6,Salaried,Male,5,Deluxe,4,Unmarried,0,3,0,1,Manager,21735,,,,,,
201246,7,3,30,Company Invited,2,14,Salaried,Female,4,Basic,3,Married,0,5,1,2,Executive,17180,,,,,,
201249,2,2,29,Self Enquiry,3,15,Small Business,Female,5,Basic,4,Single,0,1,1,1,Executive,17760,,,,,,
201255,3,3,33,Self Enquiry,3,22,Salaried,Female,3,Standard,5,Unmarried,1,5,0,0,Senior Manager,23564,,,,,,
201257,3,3,31,Self Enquiry,3,22,Small Business,Male,3,Standard,3,Married,0,5,1,0,Senior Manager,23161,,,,,,
201262,1,2,43,Company Invited,1,23,Large Business,Male,4,Basic,3,Married,1,5,1,1,Executive,17437,,,,,,
201271,2,2,21,Self Enquiry,3,13,Small Business,Male,3,Basic,4,Single,0,5,1,1,Executive,17679,,,,,,
201273,2,3,22,Self Enquiry,1,14,Small Business,Female,3,Basic,5,Married,1,3,0,1,Executive,17398,,,,,,
201279,2,2,44,Company Invited,1,6,Small Business,Male,3,Basic,4,Married,1,3,1,1,Executive,17342,,,,,,
201281,2,2,35,Self Enquiry,3,33,Salaried,Male,3,Deluxe,3,Single,1,5,0,0,Manager,20813,,,,,,
201290,5,3,34,Company Invited,1,15,Salaried,Male,3,Deluxe,5,Married,0,3,0,1,Manager,20346,,,,,,
201297,1,3,26,Self Enquiry,2,26,Small Business,Female,3,Basic,4,Married,1,3,0,1,Executive,17148,,,,,,
201298,5,3,46,Self Enquiry,1,27,Small Business,Female,3,Deluxe,4,Married,0,3,1,2,Manager,23926,,,,,,
201312,1,2,31,Self Enquiry,2,24,Salaried,Male,1,Basic,5,Married,0,1,1,0,Executive,17956,,,,,,
201313,5,2,29,Self Enquiry,2,19,Salaried,Male,4,Basic,5,Married,1,5,1,1,Executive,17335,,,,,,
201326,1,2,32,Self Enquiry,3,8,Small Business,Male,4,Deluxe,4,Unmarried,1,1,1,0,Manager,24907,,,,,,
201332,2,3,29,Company Invited,1,30,Salaried,Male,4,Basic,3,Single,1,3,1,2,Executive,17439,,,,,,
201333,6,3,46,Self Enquiry,3,16,Salaried,Female,3,Standard,4,Married,0,1,0,2,Senior Manager,22314,,,,,,
201338,2,2,30,Self Enquiry,3,15,Small Business,Male,3,Basic,3,Single,0,5,0,0,Executive,16081,,,,,,
201339,2,3,22,Self Enquiry,1,13,Salaried,Male,3,Basic,4,Single,1,3,1,0,Executive,17472,,,,,,
201353,2,2,34,Company Invited,1,22,Large Business,Male,5,Basic,5,Married,1,3,1,0,Executive,17307,,,,,,
201354,2,3,56,Self Enquiry,1,30,Salaried,Male,3,Basic,3,Single,0,3,0,0,Executive,17587,,,,,,
201365,2,2,29,Company Invited,3,30,Large Business,Male,1,Basic,5,Single,0,3,1,1,Executive,16091,,,,,,
201369,4,2,28,Self Enquiry,3,19,Small Business,Female,3,Deluxe,3,Unmarried,1,5,1,1,Manager,24854,,,,,,
201375,4,2,32,Company Invited,1,11,Salaried,Female,1,Basic,3,Single,1,1,0,1,Executive,17432,,,,,,
201379,2,2,27,Company Invited,2,28,Salaried,Female,4,Basic,4,Married,0,1,1,0,Executive,17863,,,,,,
201390,6,2,28,Self Enquiry,1,23,Large Business,Male,4,Basic,3,Married,0,3,0,1,Executive,17367,,,,,,
201395,2,3,31,Company Invited,3,32,Small Business,Male,3,Deluxe,3,Married,1,3,0,1,Manager,20617,,,,,,
201396,7,3,53,Self Enquiry,3,30,Salaried,Male,3,Standard,5,Unmarried,1,3,1,2,Senior Manager,25448,,,,,,
201438,2,2,23,Company Invited,3,15,Small Business,Male,3,Basic,5,Married,0,5,1,0,Executive,16790,,,,,,
201442,1,2,29,Self Enquiry,1,,Small Business,Male,3,Basic,3,Married,1,3,1,0,Executive,19787,,,,,,
201444,1,3,56,Self Enquiry,1,13,Large Business,Male,3,Basic,3,Married,0,4,1,2,Executive,17339,,,,,,
201452,1,3,50,Company Invited,3,6,Salaried,Male,3,Deluxe,3,Married,0,3,1,1,Manager,21728,,,,,,
201461,5,2,50,Self Enquiry,3,34,Small Business,Male,4,Standard,5,Married,1,5,0,0,Senior Manager,25854,,,,,,
201470,1,3,41,Self Enquiry,3,6,Salaried,Female,3,Deluxe,3,Single,1,4,0,2,Manager,20993,,,,,,
201472,7,3,37,Self Enquiry,1,8,Salaried,Male,4,Basic,3,Single,1,3,0,2,Executive,17090,,,,,,
201484,6,2,28,Self Enquiry,1,30,Salaried,Male,4,Basic,3,Single,1,1,0,0,Executive,17028,,,,,,
201494,3,2,34,Self Enquiry,1,12,Small Business,Male,3,Basic,5,Single,0,4,0,0,Executive,17960,,,,,,
201503,4,2,39,Self Enquiry,3,11,Large Business,Male,3,Deluxe,3,Married,0,1,0,0,Manager,17086,,,,,,
201504,3,3,24,Self Enquiry,1,6,Small Business,Male,3,Basic,3,Married,1,3,0,2,Executive,17293,,,,,,
201506,2,2,50,Self Enquiry,3,9,Small Business,Male,4,Basic,3,Married,1,4,1,1,Executive,17683,,,,,,
201512,2,2,26,Self Enquiry,1,31,Salaried,Male,5,Basic,3,Single,0,1,0,0,Executive,17293,,,,,,
201515,2,2,41,Self Enquiry,1,18,Large Business,Female,3,King,3,Married,0,4,1,1,VP,34545,,,,,,
